exp	item	text	mean_rating	LogProb	MeanLP	NormLPDiv	NormLPSub	SLOR	WordLPMin-1	WordLPMin-2	WordLPMin-3	WordLPMin-4	WordLPMin-5	WordLPMean	WordLPMeanQ1	WordLPMeanQ2	condition	structure	distance	itemID	subdesign
SWP	0	What do you frown if you forget at the office?	-0.901112406	-73.08378809690475	-8.120420899656084	-0.5846020588798885	51.93080428570683	5.770089365078537	-1.0568034635328298	-0.7266822906477852	-1.195420789182401	-0.2544352066759184	-0.9569766208305064	-0.6256275425523061	-0.8917428770903075	-0.8083354375097337	ADJ.isl.em	island	embedded	ADJ.isl.em.1.a	adj
SWP	1	What do you laugh if you buy at the auction?	-0.631383826	-66.38448643684387	-7.376054048538208	-0.5458917848281499	55.22292419261288	6.135880465845876	-0.951908055113577	-0.8406888396266424	-1.0081304680280223	-0.23964267266742809	-0.7995533596048453	-0.5888818229632885	-0.8962984473701097	-0.7600925088589173	ADJ.isl.em	island	embedded	ADJ.isl.em.2.a	adj
SWP	2	What do you worry if you leave in the car? 	-0.937599964	-53.84475088119507	-5.9827500979105634	-0.4557932203838609	64.28941275521879	7.143268083913199	-0.7661440057640874	-0.6045410303883382	-0.7995533596048453	-0.8363063729702018	-1.076824096260054	-0.5251710712858374	-0.6853425180762127	-0.7516361921818682	ADJ.isl.em	island	embedded	ADJ.isl.em.3.a	adj
SWP	3	What do you blush if you submit to the art contest?	-1.016951456	-75.01454383134842	-7.501454383134842	-0.548189284945943	61.82604370174357	6.182604370174357	-1.0195889597040262	-0.9629017689997117	-0.8974890740467534	-0.7995533596048453	-0.6492347428620899	-0.5621179687801695	-0.9912453643518689	-0.8657535810434854	ADJ.isl.em	island	embedded	ADJ.isl.em.4.a	adj
SWP	4	What do you sneeze if you leave open at night?	-1.429686676	-68.85356553966994	-7.650396171074438	-0.45831499043746904	81.3784080511308	9.042045339014534	-0.506171991142563	-0.8568306024060198	-1.1528335225345672	-0.6605914228074327	-0.9329275796396993	-0.557916925264481	-0.6815012967742914	-0.7941068847226457	ADJ.isl.em	island	embedded	ADJ.isl.em.5.a	adj
SWP	5	What do you notice if you turn on at night?	-0.85615814	-53.97132867574692	-5.996814297305213	-0.4441882488915351	67.53420149176998	7.50380016575222	-0.8914320593110264	-1.3049160321131703	-0.7995533596048453	-0.8309687579204368	-0.5362280024704627	-0.5328797332118534	-1.0981740457120983	-0.9567175522373697	ADJ.isl.em	island	embedded	ADJ.isl.em.6.a	adj
SWP	6	What do you object if you write on the blackboard?	-1.006869976	-63.529018253088	-7.058779805898666	-0.5446808417457699	53.10629069126479	5.900698965696088	-1.1415435129585707	-1.0370156197971763	-0.25388165022434955	-0.7995533596048453	-0.5920907196008162	-0.6068544153866517	-1.0892795663778734	-0.8079985356462355	ADJ.isl.em	island	embedded	ADJ.isl.em.7.a	adj
SWP	7	What do you complain if you keep in your office?	-0.933090577	-61.97537034749985	-6.886152260833317	-0.4983010154363167	62.39798717663378	6.933109686292642	-0.807006791914483	-0.7496544898671154	-0.9352629145578805	-0.7995533596048453	-1.1500436639205331	-0.5725242558224231	-0.7783306408907992	-0.8228693889860811	ADJ.isl.em	island	embedded	ADJ.isl.em.8.a	adj
SWP	8	Who frowns if you forget a briefcase at the office?	0.509878652	-79.16504347324371	-8.796115941471523	-0.46503859657265173	91.06823190796644	10.118692434218493	-0.5061893781914588	-0.4917031036156033	-0.663291771845567	-0.9581774351049237	-0.7384723954530384	-0.5462466458680989	-0.49894624090353107	-0.6548404221893882	ADJ.isl.ma	island	matrix	ADJ.isl.ma.1.a	adj
SWP	9	Who laughs if you buy a painting at the auction?	0.713492001	-62.750571966171265	-6.97228577401903	-0.49332626615793496	64.44835554052287	7.16092839339143	-0.8381926514395387	-0.6781959621826112	-0.7038988922918462	-0.9035561768008704	-0.6507354048270126	-0.5391378761430203	-0.758194306811075	-0.7809609206787167	ADJ.isl.ma	island	matrix	ADJ.isl.ma.2.a	adj
SWP	10	Who worries if you leave the keys in the car?	0.479801208	-53.38091742992401	-5.931213047769335	-0.43712349987819776	68.73769995120131	7.6375222168001455	-0.8404976190617268	-0.7108759749981767	-0.5657043829463806	-0.7352280929778561	-0.07836489512129456	-0.4851734771802513	-0.7756867970299517	-0.713076517496035	ADJ.isl.ma	island	matrix	ADJ.isl.ma.3.a	adj
SWP	11	Who blushes if you submit a drawing to the art contest?	0.443017715	-77.4252667427063	-7.74252667427063	-0.48771600431697393	81.32545305607738	8.132545305607739	-0.4645668211285096	-0.9147528685738159	-0.655605819327277	-0.9354199463732631	-0.20643862827205228	-0.5343375041099133	-0.6896598448511627	-0.6353568167349837	ADJ.isl.ma	island	matrix	ADJ.isl.ma.4.a	adj
SWP	12	Who sneezes if you leave a window open at night?	0.2546564	-54.587127298116684	-6.065236366457409	-0.36013022315546867	96.98895209845026	10.776550233161139	-0.46337319601321303	-0.6058900464605981	-0.8514307074679516	-0.8898165884021894	-0.5087771884869595	-0.4358176724878133	-0.5346316212369056	-0.702627634585988	ADJ.isl.ma	island	matrix	ADJ.isl.ma.5.a	adj
SWP	13	Who notices if you turn the air conditioning on at night?	0.658721208	-62.933173298835754	-6.293317329883576	-0.44240511891099654	79.31918909188221	7.931918909188221	-0.8898143808500919	-0.7892106622608844	-0.6225075598586155	-0.8337648237938377	-0.714136213098288	-0.5290386980682723	-0.8395125215554882	-0.7698867279723436	ADJ.isl.ma	island	matrix	ADJ.isl.ma.6.a	adj
SWP	14	Who objects if you write the equation on the blackboard?	0.950162748	-71.57703816890717	-7.953004240989685	-0.6026829909668383	47.186954247871654	5.242994916430184	-0.9768019449235299	-0.8708608937319483	-1.1526972230617012	-0.6710605971644618	-0.23326978311710034	-0.6882508257290116	-0.923831419327739	-0.9178551647204103	ADJ.isl.ma	island	matrix	ADJ.isl.ma.7.a	adj
SWP	15	Who complains if you keep the copy paper in your office?	0.626210993	-72.75130867958069	-7.275130867958069	-0.521132692051992	66.85096496231643	6.685096496231642	-0.8271121619702714	-0.9487012994852698	-0.75809193166736	-0.6757873874811204	-0.8017461246377129	-0.5898721924371714	-0.8879067307277706	-0.802287781048347	ADJ.isl.ma	island	matrix	ADJ.isl.ma.8.a	adj
