pairs	target	gold	order	distractors	full_sent	prefix	sent
0	is	is	x	0	As a consequence of being mostly privately owned, the town is very opulently designed.	As a consequence of being mostly privately owned, the town	As a consequence of being mostly privately owned, the town is
0	are	is	y	0	As a consequence of being mostly privately owned, the town is very opulently designed.	As a consequence of being mostly privately owned, the town	As a consequence of being mostly privately owned, the town are
1	have	have	x	1	The two versions of the game have identical core gameplay elements, though the extreme version is tweaked to feel more like the arcade mode in the original off-world interceptor.	The two versions of the game	The two versions of the game have
1	has	have	y	1	The two versions of the game have identical core gameplay elements, though the extreme version is tweaked to feel more like the arcade mode in the original off-world interceptor.	The two versions of the game	The two versions of the game has
2	is	is	x	2	Discipline in public schools of all levels is generally very tight with school uniforms and morning reveille being the norm.	Discipline in public schools of all levels	Discipline in public schools of all levels is
2	are	is	y	2	Discipline in public schools of all levels is generally very tight with school uniforms and morning reveille being the norm.	Discipline in public schools of all levels	Discipline in public schools of all levels are
3	contains	contains	x	0	The release contains a non-anamorphic picture and a`` making of'' feature section.	The release	The release contains
3	contain	contains	y	0	The release contains a non-anamorphic picture and a`` making of'' feature section.	The release	The release contain
4	include	include	x	3	Businesses engaged in the manufacture and distribution of clothing include union underwear corp.	Businesses engaged in the manufacture and distribution of clothing	Businesses engaged in the manufacture and distribution of clothing include
4	includes	include	y	3	Businesses engaged in the manufacture and distribution of clothing include union underwear corp.	Businesses engaged in the manufacture and distribution of clothing	Businesses engaged in the manufacture and distribution of clothing includes
5	are	are	x	2	Entrances to this section of the park are to the west at saltwell road and to the extreme south-east corner.	Entrances to this section of the park	Entrances to this section of the park are
5	is	are	y	2	Entrances to this section of the park are to the west at saltwell road and to the extreme south-east corner.	Entrances to this section of the park	Entrances to this section of the park is
6	makes	makes	x	3	Their lack of valves, seals and glands makes them comparatively inexpensive to maintain, and the use of a hose or tube makes for a low-cost maintenance item compared to other pump types.	Their lack of valves, seals and glands	Their lack of valves, seals and glands makes
6	make	makes	y	3	Their lack of valves, seals and glands makes them comparatively inexpensive to maintain, and the use of a hose or tube makes for a low-cost maintenance item compared to other pump types.	Their lack of valves, seals and glands	Their lack of valves, seals and glands make
7	are	are	x	2	Still, a discussion is not enough and the pattern of disruptive editing and personal attacks- again, especially ones relating to violence and radicalism- are something i would like to see administrators address.	Still, a discussion is not enough and the pattern of disruptive editing and personal attacks- again, especially ones relating to violence and radicalism-	Still, a discussion is not enough and the pattern of disruptive editing and personal attacks- again, especially ones relating to violence and radicalism- are
7	is	are	y	2	Still, a discussion is not enough and the pattern of disruptive editing and personal attacks- again, especially ones relating to violence and radicalism- are something i would like to see administrators address.	Still, a discussion is not enough and the pattern of disruptive editing and personal attacks- again, especially ones relating to violence and radicalism-	Still, a discussion is not enough and the pattern of disruptive editing and personal attacks- again, especially ones relating to violence and radicalism- is
8	reveals	reveals	x	1	The language of these early writings also reveals the heavy influence of british victorian and romantic anthology pieces, which manifests itself in a pompous style, elitism and overawed-ness in the face of british models.	The language of these early writings also	The language of these early writings also reveals
8	reveal	reveals	y	1	The language of these early writings also reveals the heavy influence of british victorian and romantic anthology pieces, which manifests itself in a pompous style, elitism and overawed-ness in the face of british models.	The language of these early writings also	The language of these early writings also reveal
9	has	has	x	0	Immediately to the north, the state highway has a partial interchange with i-395( henry g.	Immediately to the north, the state highway	Immediately to the north, the state highway has
9	have	has	y	0	Immediately to the north, the state highway has a partial interchange with i-395( henry g.	Immediately to the north, the state highway	Immediately to the north, the state highway have
10	is	is	x	3	The deadline for proposals for workshops and tutorials is this saturday, april 15, and the deadline for abstracts for panels, papers, posters and presentations is april 30.	The deadline for proposals for workshops and tutorials	The deadline for proposals for workshops and tutorials is
10	are	is	y	3	The deadline for proposals for workshops and tutorials is this saturday, april 15, and the deadline for abstracts for panels, papers, posters and presentations is april 30.	The deadline for proposals for workshops and tutorials	The deadline for proposals for workshops and tutorials are
11	are	are	x	2	Guided tours of the inside of the dam are available.	Guided tours of the inside of the dam	Guided tours of the inside of the dam are
11	is	are	y	2	Guided tours of the inside of the dam are available.	Guided tours of the inside of the dam	Guided tours of the inside of the dam is
12	are	are	x	2	The umwelt theory states that the mind and the world are inseparable, because it is the mind that interprets the world for the organism.	The umwelt theory states that the mind and the world	The umwelt theory states that the mind and the world are
12	is	are	y	2	The umwelt theory states that the mind and the world are inseparable, because it is the mind that interprets the world for the organism.	The umwelt theory states that the mind and the world	The umwelt theory states that the mind and the world is
13	has	has	x	0	Each task difficulty has an order of hierarchical complexity required to complete it correctly, corresponding to the atomic slater eigenstate.	Each task difficulty	Each task difficulty has
13	have	has	y	0	Each task difficulty has an order of hierarchical complexity required to complete it correctly, corresponding to the atomic slater eigenstate.	Each task difficulty	Each task difficulty have
14	comes	comes	x	0	This picture comes from the national historic registry, a division of the u.	This picture	This picture comes
14	come	comes	y	0	This picture comes from the national historic registry, a division of the u.	This picture	This picture come
15	reveals	reveals	x	0	The very feminine collection, reveals the designer, also included hand paintings by bhamini subramaniam.	The very feminine collection,	The very feminine collection, reveals
15	reveal	reveals	y	0	The very feminine collection, reveals the designer, also included hand paintings by bhamini subramaniam.	The very feminine collection,	The very feminine collection, reveal
