pairs	order	sent
0	x	die Schriftsteller sind alt
0	y	die Schriftsteller ist alt
1	x	die Schriftsteller sind jung
1	y	die Schriftsteller ist jung
2	x	die Schriftsteller sind klein
2	y	die Schriftsteller ist klein
3	x	die Schriftsteller sind groß
3	y	die Schriftsteller ist groß
4	x	die Schriftsteller schwimmen
4	y	die Schriftsteller schwimmt
5	x	die Schriftsteller sprechen
5	y	die Schriftsteller spricht
6	x	die Schriftsteller lachen
6	y	die Schriftsteller lacht
7	x	die Direktoren sind alt
7	y	die Direktoren ist alt
8	x	die Direktoren sind jung
8	y	die Direktoren ist jung
9	x	die Direktoren sind klein
9	y	die Direktoren ist klein
10	x	die Direktoren sind groß
10	y	die Direktoren ist groß
11	x	die Direktoren schwimmen
11	y	die Direktoren schwimmt
12	x	die Direktoren sprechen
12	y	die Direktoren spricht
13	x	die Direktoren lachen
13	y	die Direktoren lacht
14	x	die Bauern sind alt
14	y	die Bauern ist alt
15	x	die Bauern sind jung
15	y	die Bauern ist jung
16	x	die Bauern sind klein
16	y	die Bauern ist klein
17	x	die Bauern sind groß
17	y	die Bauern ist groß
18	x	die Bauern schwimmen
18	y	die Bauern schwimmt
19	x	die Bauern sprechen
19	y	die Bauern spricht
20	x	die Bauern lachen
20	y	die Bauern lacht
21	x	die Chirurgen sind alt
21	y	die Chirurgen ist alt
22	x	die Chirurgen sind jung
22	y	die Chirurgen ist jung
23	x	die Chirurgen sind klein
23	y	die Chirurgen ist klein
24	x	die Chirurgen sind groß
24	y	die Chirurgen ist groß
25	x	die Chirurgen schwimmen
25	y	die Chirurgen schwimmt
26	x	die Chirurgen sprechen
26	y	die Chirurgen spricht
27	x	die Chirurgen lachen
27	y	die Chirurgen lacht
28	x	die Senatoren sind alt
28	y	die Senatoren ist alt
29	x	die Senatoren sind jung
29	y	die Senatoren ist jung
30	x	die Senatoren sind klein
30	y	die Senatoren ist klein
31	x	die Senatoren sind groß
31	y	die Senatoren ist groß
32	x	die Senatoren schwimmen
32	y	die Senatoren schwimmt
33	x	die Senatoren sprechen
33	y	die Senatoren spricht
34	x	die Senatoren lachen
34	y	die Senatoren lacht
35	x	die Lehrer sind alt
35	y	die Lehrer ist alt
36	x	die Lehrer sind jung
36	y	die Lehrer ist jung
37	x	die Lehrer sind klein
37	y	die Lehrer ist klein
38	x	die Lehrer sind groß
38	y	die Lehrer ist groß
