pattern	constr_id	sent_id	pairs	order	correct_number	class	type	n_attr	punct	freq	len_context	len_prefix	sent	target
L__NOUN_VERB_VERB	1	7	0	x	sing	correct	generated	0	FALSE	2926	4	6	An agreeable insight executed in fifty	represents
L__NOUN_VERB_VERB	1	7	0	y	sing	wrong	generated	0	FALSE	4307	4	6	An agreeable insight executed in fifty	represent
L__NOUN_VERB_VERB	0	0	1	x	sing	correct	original	0	FALSE	649202	5	6	The thing to keep in mind	is
L__NOUN_VERB_VERB	0	0	1	y	sing	wrong	original	0	FALSE	261453	5	6	The thing to keep in mind	are
L__NOUN_VERB_VERB	0	3	2	x	sing	correct	generated	0	FALSE	78	5	6	The sauce to recruit in pastor	approves
L__NOUN_VERB_VERB	0	3	2	y	sing	wrong	generated	0	FALSE	536	5	6	The sauce to recruit in pastor	approve
R__VERB_NOUN_CCONJ_VERB	0	9	3	x	plur	correct	generated	0	FALSE	2073	4	5	Cats provide the ownership but	spend
R__VERB_NOUN_CCONJ_VERB	0	9	3	y	plur	wrong	generated	0	FALSE	506	4	5	Cats provide the ownership but	spends
L__NOUN_VERB_VERB	7	6	4	x	sing	correct	generated	0	FALSE	1624	4	9	Can you expire that the ground we are happening	decides
L__NOUN_VERB_VERB	7	6	4	y	sing	wrong	generated	0	FALSE	1926	4	9	Can you expire that the ground we are happening	decide
R__VERB_NOUN_CCONJ_VERB	9	5	5	x	plur	correct	generated	0	FALSE	4503	5	6	I continue this illegal bombing and	carry
R__VERB_NOUN_CCONJ_VERB	9	5	5	y	plur	wrong	generated	0	FALSE	1560	5	6	I continue this illegal bombing and	carries
L__NOUN_VERB_VERB	23	1	6	x	sing	correct	generated	0	TRUE	53	6	13	"Well , unless equally probably the third rape he caused in the stuff"	sucks
L__NOUN_VERB_VERB	23	1	6	y	sing	wrong	generated	0	TRUE	89	6	13	"Well , unless equally probably the third rape he caused in the stuff"	suck
R__VERB_NOUN_CCONJ_VERB	2	5	7	x	plur	correct	generated	0	TRUE	1554	7	18	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and	recognize
R__VERB_NOUN_CCONJ_VERB	2	5	7	y	plur	wrong	generated	0	TRUE	623	7	18	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and	recognizes
R__VERB_NOUN_CCONJ_VERB	14	4	8	x	sing	correct	generated	0	FALSE	1563	5	21	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and	creates
R__VERB_NOUN_CCONJ_VERB	14	4	8	y	sing	wrong	generated	0	FALSE	8745	5	21	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and	create
L__NOUN_VERB_VERB	4	2	9	x	sing	correct	generated	0	FALSE	1492	6	7	My career with using the fantasy frequently	enters
L__NOUN_VERB_VERB	4	2	9	y	sing	wrong	generated	0	FALSE	3610	6	7	My career with using the fantasy frequently	enter
R__VERB_NOUN_CCONJ_VERB	0	7	10	x	plur	correct	generated	0	FALSE	722	4	5	Copies throw the aircraft but	refuse
R__VERB_NOUN_CCONJ_VERB	0	7	10	y	plur	wrong	generated	0	FALSE	1038	4	5	Copies throw the aircraft but	refuses
L__NOUN_VERB_VERB	19	4	11	x	plur	correct	generated	1	FALSE	262	6	8	the ecological wines we believe in our night	insist
L__NOUN_VERB_VERB	19	4	11	y	plur	wrong	generated	1	FALSE	447	6	8	the ecological wines we believe in our night	insists
L__NOUN_VERB_VERB	0	9	12	x	sing	correct	generated	0	FALSE	932	5	6	The wolf to continue in time	adds
L__NOUN_VERB_VERB	0	9	12	y	sing	wrong	generated	0	FALSE	2283	5	6	The wolf to continue in time	add
R__VERB_NOUN_CCONJ_VERB	2	0	13	x	plur	correct	original	0	TRUE	11429	7	18	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and	go
R__VERB_NOUN_CCONJ_VERB	2	0	13	y	plur	wrong	original	0	TRUE	4325	7	18	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and	goes
R__VERB_NOUN_CCONJ_VERB	12	5	14	x	sing	correct	generated	0	FALSE	1138	5	15	See for a petroleum of reviewers in their junk that submits from the date and	reflects
R__VERB_NOUN_CCONJ_VERB	12	5	14	y	sing	wrong	generated	0	FALSE	1968	5	15	See for a petroleum of reviewers in their junk that submits from the date and	reflect
R__VERB_NOUN_CCONJ_VERB	7	8	15	x	sing	correct	generated	0	TRUE	600	4	17	"As you seem above the ton , the perfume of the critical protein provides your pattern and"	throws
R__VERB_NOUN_CCONJ_VERB	7	8	15	y	sing	wrong	generated	0	TRUE	1224	4	17	"As you seem above the ton , the perfume of the critical protein provides your pattern and"	throw
L__NOUN_VERB_VERB	2	1	16	x	plur	correct	generated	1	FALSE	2073	6	16	<unk> I do n't solve to the commission that the stars we choose or receive to	spend
L__NOUN_VERB_VERB	2	1	16	y	plur	wrong	generated	1	FALSE	506	6	16	<unk> I do n't solve to the commission that the stars we choose or receive to	spends
R__VERB_NOUN_CCONJ_VERB	11	7	17	x	sing	correct	generated	0	FALSE	464	9	13	This clerk of luck represents around the snow s swing and controllers and	generates
R__VERB_NOUN_CCONJ_VERB	11	7	17	y	sing	wrong	generated	0	FALSE	1569	9	13	This clerk of luck represents around the snow s swing and controllers and	generate
R__VERB_NOUN_CCONJ_VERB	15	1	18	x	sing	correct	generated	0	TRUE	4701	6	37	"If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and"	serves
