pairs	order	P	T	prime	target
0	x	Passive	Passive	the parent was judged by the woman.	a company is led by a candidate.
0	y	Active	Passive	the woman judged the parent.	a company is led by a candidate.
1	y	Passive	Active	the parent was judged by the woman.	a candidate leads a company.
1	x	Active	Active	the woman judged the parent.	a candidate leads a company.
2	x	Passive	Passive	the mother was protected by the administration.	a company is led by a candidate.
2	y	Active	Passive	the administration protected the mother.	a company is led by a candidate.
3	y	Passive	Active	the mother was protected by the administration.	a candidate leads a company.
3	x	Active	Active	the administration protected the mother.	a candidate leads a company.
4	x	Passive	Passive	the tea was forgotten by the hero.	a company is led by a candidate.
4	y	Active	Passive	the hero forgot the tea.	a company is led by a candidate.
5	y	Passive	Active	the tea was forgotten by the hero.	a candidate leads a company.
5	x	Active	Active	the hero forgot the tea.	a candidate leads a company.
6	x	Passive	Passive	the cheese was tasted by the chief.	a company is led by a candidate.
6	y	Active	Passive	the chief tasted the cheese.	a company is led by a candidate.
7	y	Passive	Active	the cheese was tasted by the chief.	a candidate leads a company.
7	x	Active	Active	the chief tasted the cheese.	a candidate leads a company.
8	x	Passive	Passive	the bishop was chased by the pilot.	a company is led by a candidate.
8	y	Active	Passive	the pilot chased the bishop.	a company is led by a candidate.
9	y	Passive	Active	the bishop was chased by the pilot.	a candidate leads a company.
9	x	Active	Active	the pilot chased the bishop.	a candidate leads a company.
10	x	Passive	Passive	the computer was smelled by the uncle.	a company is led by a candidate.
10	y	Active	Passive	the uncle smelled the computer.	a company is led by a candidate.
11	y	Passive	Active	the computer was smelled by the uncle.	a candidate leads a company.
11	x	Active	Active	the uncle smelled the computer.	a candidate leads a company.
12	x	Passive	Passive	the bowl was discovered by the guy.	a company is led by a candidate.
12	y	Active	Passive	the guy discovered the bowl.	a company is led by a candidate.
13	y	Passive	Active	the bowl was discovered by the guy.	a candidate leads a company.
13	x	Active	Active	the guy discovered the bowl.	a candidate leads a company.
14	x	Passive	Passive	the mother was described by the teacher.	a company is led by a candidate.
14	y	Active	Passive	the teacher described the mother.	a company is led by a candidate.
15	y	Passive	Active	the mother was described by the teacher.	a candidate leads a company.
15	x	Active	Active	the teacher described the mother.	a candidate leads a company.
16	x	Passive	Passive	the plate was used by the army.	a company is led by a candidate.
16	y	Active	Passive	the army used the plate.	a company is led by a candidate.
17	y	Passive	Active	the plate was used by the army.	a candidate leads a company.
17	x	Active	Active	the army used the plate.	a candidate leads a company.
18	x	Passive	Passive	the tea was destroyed by the actor.	a company is led by a candidate.
18	y	Active	Passive	the actor destroyed the tea.	a company is led by a candidate.
19	y	Passive	Active	the tea was destroyed by the actor.	a candidate leads a company.
19	x	Active	Active	the actor destroyed the tea.	a candidate leads a company.
20	x	Passive	Passive	a plate is described by a mayor.	the soldier was embraced by the friend.
20	y	Active	Passive	a mayor describes a plate.	the soldier was embraced by the friend.
21	y	Passive	Active	a plate is described by a mayor.	the friend embraced the soldier.
21	x	Active	Active	a mayor describes a plate.	the friend embraced the soldier.
22	x	Passive	Passive	a hero is killed by a candidate.	the soldier was embraced by the friend.
22	y	Active	Passive	a candidate kills a hero.	the soldier was embraced by the friend.
23	y	Passive	Active	a hero is killed by a candidate.	the friend embraced the soldier.
23	x	Active	Active	a candidate kills a hero.	the friend embraced the soldier.
24	x	Passive	Passive	a kid is hurried by a sheriff.	the soldier was embraced by the friend.
24	y	Active	Passive	a sheriff hurries a kid.	the soldier was embraced by the friend.
25	y	Passive	Active	a kid is hurried by a sheriff.	the friend embraced the soldier.
25	x	Active	Active	a sheriff hurries a kid.	the friend embraced the soldier.
26	x	Passive	Passive	a salad is selected by an employer.	the soldier was embraced by the friend.
26	y	Active	Passive	an employer selects a salad.	the soldier was embraced by the friend.
27	y	Passive	Active	a salad is selected by an employer.	the friend embraced the soldier.
27	x	Active	Active	an employer selects a salad.	the friend embraced the soldier.
28	x	Passive	Passive	a meal is smelled by a woman.	the soldier was embraced by the friend.
28	y	Active	Passive	a woman smells a meal.	the soldier was embraced by the friend.
29	y	Passive	Active	a meal is smelled by a woman.	the friend embraced the soldier.
29	x	Active	Active	a woman smells a meal.	the friend embraced the soldier.
30	x	Passive	Passive	a key is wrapped by a guy.	the soldier was embraced by the friend.
30	y	Active	Passive	a guy wraps a key.	the soldier was embraced by the friend.
31	y	Passive	Active	a key is wrapped by a guy.	the friend embraced the soldier.
31	x	Active	Active	a guy wraps a key.	the friend embraced the soldier.
32	x	Passive	Passive	an actor is grabbed by an attorney.	the soldier was embraced by the friend.
32	y	Active	Passive	an attorney grabs an actor.	the soldier was embraced by the friend.
33	y	Passive	Active	an actor is grabbed by an attorney.	the friend embraced the soldier.
33	x	Active	Active	an attorney grabs an actor.	the friend embraced the soldier.
34	x	Passive	Passive	a salad is grabbed by a parent.	the soldier was embraced by the friend.
34	y	Active	Passive	a parent grabs a salad.	the soldier was embraced by the friend.
35	y	Passive	Active	a salad is grabbed by a parent.	the friend embraced the soldier.
35	x	Active	Active	a parent grabs a salad.	the friend embraced the soldier.
36	x	Passive	Passive	a candy is grabbed by a student.	the soldier was embraced by the friend.
36	y	Active	Passive	a student grabs a candy.	the soldier was embraced by the friend.
37	y	Passive	Active	a candy is grabbed by a student.	the friend embraced the soldier.
37	x	Active	Active	a student grabs a candy.	the friend embraced the soldier.
38	x	Passive	Passive	a crystal is forgotten by a leader.	the soldier was embraced by the friend.
38	y	Active	Passive	a leader forgets a crystal.	the soldier was embraced by the friend.
39	y	Passive	Active	a crystal is forgotten by a leader.	the friend embraced the soldier.
39	x	Active	Active	a leader forgets a crystal.	the friend embraced the soldier.
40	x	Passive	Passive	the princess is understood by the mayor.	a child was kissed by a buddy.
40	y	Active	Passive	the mayor understands the princess.	a child was kissed by a buddy.
41	y	Passive	Active	the princess is understood by the mayor.	a buddy kissed a child.
