condition,subdesign,structure,distance,item,sent,mean_rating
ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,What do you frown if you forget at the office?,-0.901112406
ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,What do you laugh if you buy at the auction?,-0.631383826
ADJ.isl.em,adj,island,embedded,ADJ.isl.em.3.a,What do you worry if you leave in the car? ,-0.937599964
ADJ.isl.em,adj,island,embedded,ADJ.isl.em.4.a,What do you blush if you submit to the art contest?,-1.016951456
ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,What do you sneeze if you leave open at night?,-1.429686676
ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,What do you notice if you turn on at night?,-0.85615814
ADJ.isl.em,adj,island,embedded,ADJ.isl.em.7.a,What do you object if you write on the blackboard?,-1.006869976
ADJ.isl.em,adj,island,embedded,ADJ.isl.em.8.a,What do you complain if you keep in your office?,-0.933090577
ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.1.a,Who frowns if you forget a briefcase at the office?,0.509878652
ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.2.a,Who laughs if you buy a painting at the auction?,0.713492001
ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.3.a,Who worries if you leave the keys in the car?,0.479801208
ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.4.a,Who blushes if you submit a drawing to the art contest?,0.443017715
ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.5.a,Who sneezes if you leave a window open at night?,0.2546564
ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.6.a,Who notices if you turn the air conditioning on at night?,0.658721208
ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.7.a,Who objects if you write the equation on the blackboard?,0.950162748
ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.8.a,Who complains if you keep the copy paper in your office?,0.626210993
ADJ.non.em,adj,non,embedded,ADJ.non.em.1.a,What do you think that you forgot at the office?,0.530592899
ADJ.non.em,adj,non,embedded,ADJ.non.em.2.a,What do you wish that you bought at the auction?,0.224100755
ADJ.non.em,adj,non,embedded,ADJ.non.em.3.a,What do you suspect that you left in the car?,0.372688053
ADJ.non.em,adj,non,embedded,ADJ.non.em.4.a,What do you think that you will submit to the art contest?,0.717471328
ADJ.non.em,adj,non,embedded,ADJ.non.em.5.a,What do you hope that I will leave open at night?,0.354517419
ADJ.non.em,adj,non,embedded,ADJ.non.em.6.a,What do you complain that I turn on at night?,-0.236185218
ADJ.non.em,adj,non,embedded,ADJ.non.em.7.a,What do you claim that you wrote on the blackboard?,-0.79002272
ADJ.non.em,adj,non,embedded,ADJ.non.em.8.a,What do you propose that you keep in your office?,0.487779164
ADJ.non.ma,adj,non,matrix,ADJ.non.ma.1.a,Who thinks that you forgot a briefcase at the office?,0.876813995
ADJ.non.ma,adj,non,matrix,ADJ.non.ma.2.a,Who wishes that you bought a painting at the auction?,0.31147846
ADJ.non.ma,adj,non,matrix,ADJ.non.ma.3.a,Who suspects that you left the keys in the car?,0.570244194
ADJ.non.ma,adj,non,matrix,ADJ.non.ma.4.a,Who thinks that you will submit a drawing to the art contest?,1.151243882
ADJ.non.ma,adj,non,matrix,ADJ.non.ma.5.a,Who hopes that you will leave a window open at night?,0.535993078
ADJ.non.ma,adj,non,matrix,ADJ.non.ma.6.a,Who complains that you turn on the air conditioning at night?,0.915405936
ADJ.non.ma,adj,non,matrix,ADJ.non.ma.7.a,Who claims that you wrote the equation on the blackboard?,0.998686256
ADJ.non.ma,adj,non,matrix,ADJ.non.ma.8.a,Who proposes that you keep the copy paper in your office?,0.640981055
NP.d.isl.em,np,island,embedded,NP.d.isl.em.1.a,What did you make the suggestion that I play?,-0.894848624
NP.d.isl.em,np,island,embedded,NP.d.isl.em.2.a,What did you doubt the prediction that you would finish?,-0.567507175
NP.d.isl.em,np,island,embedded,NP.d.isl.em.3.a,What did you hear the rumor that you won?,-1.214869897
NP.d.isl.em,np,island,embedded,NP.d.isl.em.4.a,What did you deny the fact that you could afford?,-0.691559161
NP.d.isl.em,np,island,embedded,NP.d.isl.em.5.a,What did you verify the statement that you owned?,-0.897780496
NP.d.isl.em,np,island,embedded,NP.d.isl.em.6.a,What did you make the claim that you saw?,-1.086991883
NP.d.isl.em,np,island,embedded,NP.d.isl.em.7.a,What did you doubt the possibility that you could find?,-0.601526493
NP.d.isl.em,np,island,embedded,NP.d.isl.em.8.a,What did you hear the rumor that I sold?,-0.57196031
NP.d.isl.ma,np,island,matrix,NP.d.isl.ma.1.a,Who made the suggestion that you play golf?,0.481846135
NP.d.isl.ma,np,island,matrix,NP.d.isl.ma.2.a,Who doubted the prediction that you would finish your homework?,0.836125437
NP.d.isl.ma,np,island,matrix,NP.d.isl.ma.3.a,Who heard the rumor that you won the the award?,1.078244014
NP.d.isl.ma,np,island,matrix,NP.d.isl.ma.4.a,Who denied the fact that you could afford the house?,0.693247685
NP.d.isl.ma,np,island,matrix,NP.d.isl.ma.5.a,Who verified the statement that you owned the car?,0.840758845
NP.d.isl.ma,np,island,matrix,NP.d.isl.ma.6.a,Who made the claim that you saw the bear?,0.928811568
NP.d.isl.ma,np,island,matrix,NP.d.isl.ma.7.a,Who doubted the possibility that you could find the clue?,0.700187195
NP.d.isl.ma,np,island,matrix,NP.d.isl.ma.8.a,Who heard the rumor that I sold my house?,0.747099234
NP.d.non.em,np,non,embedded,NP.d.non.em.1.a,What did you suggest that I play?,-0.001033124
NP.d.non.em,np,non,embedded,NP.d.non.em.2.a,What did you predict that you would finish?,0.400135769
NP.d.non.em,np,non,embedded,NP.d.non.em.3.a,What did you hear that you won?,0.07489808
NP.d.non.em,np,non,embedded,NP.d.non.em.4.a,What did you deny that you could afford?,-0.484519803
NP.d.non.em,np,non,embedded,NP.d.non.em.5.a,What did you state that you owned?,0.023214737
NP.d.non.em,np,non,embedded,NP.d.non.em.6.a,What did you claim that you saw?,0.169632314
NP.d.non.em,np,non,embedded,NP.d.non.em.7.a,What did you doubt that you could find?,0.558662193
NP.d.non.em,np,non,embedded,NP.d.non.em.8.a,What did you hear that I sold?,-0.081669508
NP.d.non.ma,np,non,matrix,NP.d.non.ma.1.a,Who suggested that you play golf?,1.001638882
NP.d.non.ma,np,non,matrix,NP.d.non.ma.2.a,Who predicted that you would finish your homework?,0.694473166
NP.d.non.ma,np,non,matrix,NP.d.non.ma.3.a,Who heard that you won the award? ,0.775463505
NP.d.non.ma,np,non,matrix,NP.d.non.ma.4.a,Who denied that you could afford the house?,0.76570895
NP.d.non.ma,np,non,matrix,NP.d.non.ma.5.a,Who stated that you owned the car?,0.826212994
NP.d.non.ma,np,non,matrix,NP.d.non.ma.6.a,Who claimed that you saw the bear?,0.945067977
NP.d.non.ma,np,non,matrix,NP.d.non.ma.7.a,Who doubted that you could find the clue?,0.611935263
NP.d.non.ma,np,non,matrix,NP.d.non.ma.8.a,Who heard that I sold my house?,0.787416257
SUB.d.comp.sub,sub,island,embedded,SUB.d.comp.sub.1.a,Who do you think the gift from prompted the hearing about congressional ethics? ,-0.966222989
SUB.d.comp.sub,sub,island,embedded,SUB.d.comp.sub.2.a,Who do you think the speech by interrupted the TV show about whales?,-1.019399469
SUB.d.comp.sub,sub,island,embedded,SUB.d.comp.sub.3.a,Who do you think the meeting with delayed the fundraiser for the candidate?,-1.0191742
SUB.d.comp.sub,sub,island,embedded,SUB.d.comp.sub.4.a,Who do you think the documentary by preceded the movie about gangsters?,-0.81732886
SUB.d.comp.sub,sub,island,embedded,SUB.d.comp.sub.5.a,Who do you think the email from criticized the joke about religion?,-1.390757133
SUB.d.comp.sub,sub,island,embedded,SUB.d.comp.sub.6.a,Who do you think the picture of accompanied the invitation to the wedding?,-1.255752032
SUB.d.comp.sub,sub,island,embedded,SUB.d.comp.sub.7.a,Who do you think the flyer from promoted the play about the Great Depression?,-0.940539281
SUB.d.comp.sub,sub,island,embedded,SUB.d.comp.sub.8.a,Who do you think the verdict from started the debate about civil rights?,-0.503160761
SUB.d.comp.obj,sub,island,matrix,SUB.d.comp.obj.1.a,What do you think the gift from the lobbyist prompted the hearing about?  ,-0.176371891
SUB.d.comp.obj,sub,island,matrix,SUB.d.comp.obj.2.a,What do you think the speech by the president interrupted the TV show about?,-0.612964139
SUB.d.comp.obj,sub,island,matrix,SUB.d.comp.obj.3.a,What do you think the meeting with the millionaire delayed the fundraiser for?,-0.650950851
SUB.d.comp.obj,sub,island,matrix,SUB.d.comp.obj.4.a,What do you think the documentary by the famous historian preceded the movie about?,-0.270190513
SUB.d.comp.obj,sub,island,matrix,SUB.d.comp.obj.5.a,What do you think the email from the priest criticized the joke about?,-0.664363384
SUB.d.comp.obj,sub,island,matrix,SUB.d.comp.obj.6.a,What do you think the picture of the bride accompanied the invitation to?,-0.519945611
SUB.d.comp.obj,sub,island,matrix,SUB.d.comp.obj.7.a,What do you think the flyer from the actress promoted the play about?,-0.502502351
SUB.d.comp.obj,sub,island,matrix,SUB.d.comp.obj.8.a,What do you think the verdict from the judge started the debate about?,-0.846266979
SUB.d.simp.sub,sub,non,embedded,SUB.d.simp.sub.1.a,What do you think prompted the hearing?,0.860882419
SUB.d.simp.sub,sub,non,embedded,SUB.d.simp.sub.2.a,What do you think interrupted the TV show?,0.818356032
SUB.d.simp.sub,sub,non,embedded,SUB.d.simp.sub.3.a,What do you think delayed the fundraiser?,1.174693933
SUB.d.simp.sub,sub,non,embedded,SUB.d.simp.sub.4.a,What do you think preceded the movie?,1.18378911
SUB.d.simp.sub,sub,non,embedded,SUB.d.simp.sub.5.a,What do you think criticized the joke?,1.075799888
SUB.d.simp.sub,sub,non,embedded,SUB.d.simp.sub.6.a,What do you think accompanied the invitation?,-0.108183417
SUB.d.simp.sub,sub,non,embedded,SUB.d.simp.sub.7.a,What do you think promoted the play?,0.446485833
SUB.d.simp.sub,sub,non,embedded,SUB.d.simp.sub.8.a,What do you think started the debate?,0.762736436
SUB.d.simp.obj,sub,non,matrix,SUB.d.simp.obj.1.a,What do you think the gift prompted?,0.492434757
SUB.d.simp.obj,sub,non,matrix,SUB.d.simp.obj.2.a,What do you think the speech interrupted?,-0.229069038
