subject,gender,age,recall,survey,condition,subdesign,structure,distance,item,raw.judgment,zscores
1,F,21,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.150157973
2,F,21,5.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-0.699702318
3,M,22,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-0.37780374
4,F,24,5.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.227359058
5,F,23,3.25,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,5,0.144337567
6,M,24,6.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,2,-1.642161808
7,F,21,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.503682403
8,F,21,3.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-0.736535462
9,F,22,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-0.225745712
10,F,21,4.25,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.035413102
11,F,25,4.0,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,4,-0.278838901
12,F,22,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,4,-0.325542711
13,M,19,1.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.467707964
14,F,18,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.553149731
15,F,20,4.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-1.244220214
16,M,21,3.25,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-1.060806743
17,F,21,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.207751896
18,F,21,4.25,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.266195449
19,M,20,3.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,2,-0.645930576
20,M,22,3.0,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,4,-0.51787993
21,M,19,6.25,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-0.620116118
22,F,19,5.25,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-0.949316139
23,M,22,5.25,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,4,-0.345907973
24,F,24,4.5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,6,0.650587931
25,M,25,3.0,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-0.938194187
26,M,22,4.5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,5,0.294399276
27,M,20,3.75,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,3,-0.653587668
28,M,21,4.0,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,3,-0.989665495
29,F,21,3.0,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-0.695374858
30,M,19,4.75,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-1.110017299
31,M,21,5.0,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-1.443944715
32,M,19,4.0,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,3,-0.540039228
33,M,19,5.0,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,1,-1.319193074
34,F,18,3.5,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,2,-0.939702674
35,F,21,4.75,2,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.2.a,1,-1.270071329
